 ;Antall;Per skrivemåte;Per 1 000;
1 Lucas;419; ;14;
Lucas; ;238; ;
Lukas; ;181; ;
2 Filip;414; ;14;
Filip; ;228; ;
Fillip; ;43; ;
Philip; ;111; ;
Phillip; ;32; ;
3 Oliver;403; ;14;
4 Oskar;382; ;13;
Oskar; ;218; ;
Oscar; ;164; ;
5 Emil;378; ;13;
6 Jakob;375; ;13;
Jakob; ;239; ;
Jacob; ;136; ;
7 Noah;351; ;12;
Noah; ;327; ;
Noa; ;24; ;
8 Aksel;332; ;11;
Aksel; ;271; ;
Axel; ;61; ;
9 Henrik;328; ;11;
10 Elias;307; ;10;
11 Theodor;306; ;10;
Theodor; ;231; ;
Teodor; ;75; ;
12 William;295; ;10;
13 Kasper;295; ;10;
Kasper; ;187; ;
Casper; ;93; ;
Kacper; ;15; ;
14 Isak;291; ;10;
Isak; ;245; ;
Isaac; ;30; ;
Isac; ;16; ;
15 Mathias;287; ;9;
Mathias; ;261; ;
Matias; ;26; ;
16 Sander;276; ;9;
17 Liam;276; ;9;
18 Magnus;273; ;9;
19 Jonas;271; ;9;
20 Alexander;266; ;9;
Alexander; ;168; ;
Aleksander; ;98; ;
21 Johannes;258; ;8;
22 Håkon;242; ;8;
Håkon; ;195; ;
Haakon; ;47; ;
23 Mohammad;237; ;8;
Mohammad; ;66; ;
Mohamed; ;42; ;
Mohammed; ;51; ;
Muhammad; ;72; ;
Muhammed; ;6; ;
24 Tobias;232; ;8;
25 Benjamin;230; ;8;
26 Olav;229; ;7;
27 Ludvig;227; ;7;
Ludvig; ;163; ;
Ludvik; ;64; ;
28 Matheo;212; ;7;
29 Markus;207; ;7;
Markus; ;140; ;
Marcus; ;67; ;
30 Adrian;203; ;7;
31 Martin;200; ;6;
32 Sebastian;198; ;6;
33 Kristian;195; ;6;
Kristian; ;123; ;
Christian; ;72; ;
34 Theo;194; ;6;
Theo; ;173; ;
Teo; ;21; ;
35 Erik;193; ;6;
Erik; ;182; ;
Eric; ;11; ;
36 Johan;184; ;6;
Johan; ;177; ;
Johann; ;7; ;
37 Victor;183; ;6;
Victor; ;89; ;
Viktor; ;94; ;
38 Ulrik;182; ;6;
39 Daniel;182; ;6;
40 Herman;177; ;6;
Herman; ;168; ;
Hermann; ;9; ;
41 Mikkel;176; ;6;
42 Leon;174; ;6;
43 Adam;173; ;6;
44 Iver;172; ;5;
45 Even;169; ;5;
46 Nikolai;168; ;5;
Nikolai; ;101; ;
Nicolai; ;54; ;
Nicolay; ;8; ;
Nikolay; ;5; ;
47 Alfred;166; ;5;
48 Gabriel;163; ;5;
49 Felix;160; ;5;
50 Jonathan;153; ;5;
Jonathan; ;127; ;
Jonatan; ;26; ;
