 ;Antall;Antall per skrivemåte;Pr. 1 000;
1 Emma;420; ;15;
2 Nora;361; ;13;
Nora; ;345; ;
Norah; ;16; ;
3 Olivia;324; ;11;
4 Sara;313; ;11;
Sara; ;220; ;
Sahra; ;1; ;
Sarah; ;81; ;
Zara; ;11; ;
5 Emilie;303; ;11;
6 Leah;299; ;11;
Leah; ;226; ;
Lea; ;73; ;
7 Sofie;296; ;10;
Sofie; ;260; ;
Sophie; ;36; ;
8 Ella;291; ;10;
9 Amalie;286; ;10;
10 Maja;284; ;10;
Maja; ;190; ;
Maia; ;36; ;
Maya; ;58; ;
11 Sofia;276; ;10;
Sofia; ;210; ;
Sophia; ;66; ;
12 Frida;263; ;9;
13 Ada;256; ;9;
14 Mia;249; ;9;
15 Ingrid;245; ;9;
Ingrid; ;244; ;
Ingerid; ;1; ;
16 Jenny;236; ;8;
17 Hanna;232; ;8;
Hanna; ;147; ;
Hannah; ;85; ;
18 Anna;223; ;8;
19 Tiril;219; ;8;
Tiril; ;212; ;
Tirill; ;7; ;
20 Mathilde;219; ;8;
Mathilde; ;168; ;
Matilde; ;51; ;
21 Alma;216; ;7;
22 Lilly;215; ;7;
Lilly; ;166; ;
Lily; ;49; ;
23 Hedda;215; ;7;
24 Thea;213; ;7;
Thea; ;208; ;
Tea; ;5; ;
25 Aurora;199; ;7;
26 Ida;195; ;7;
27 Linnea;192; ;7;
Linnea; ;172; ;
Linea; ;20; ;
28 Victoria;190; ;7;
Victoria; ;158; ;
Viktoria; ;32; ;
29 Julie;183; ;6;
30 Tuva;176; ;6;
31 Selma;175; ;6;
32 Vilde;171; ;6;
33 Sigrid;169; ;6;
34 Maria;167; ;6;
35 Astrid;166; ;6;
Astrid; ;155; ;
Astri; ;11; ;
36 Iben;161; ;5;
37 Amanda;158; ;5;
38 Kaja;152; ;5;
Kaja; ;116; ;
Kaia; ;36; ;
39 Oda;149; ;5;
40 Marie;149; ;5;
41 Saga;143; ;5;
42 Oline;143; ;5;
43 Julia;139; ;5;
44 Live;138; ;5;
45 Eva;137; ;5;
46 Klara;127; ;4;
Klara; ;89; ;
Clara; ;38; ;
47 Amelia;127; ;4;
48 Josefine;123; ;4;
Josefine; ;111; ;
Josephine; ;12; ;
49 Agnes;123; ;4;
50 Elise;119; ;4;
